N1_COD;GRUPO ANATÓMICO PRINCIPAL ;N23_COD;GRUPO/SUBGRUPO TERAPÉUTICO;N4_COD;FAMILIA O SUBGRUPO QUÍMICO-TERAPÉUTICO;N5_COD;PRINCIPIO ACTIVO / SUSTANCIA QUÍMICA
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AA;AGENTES PARA LA PROFILAXIS DE LAS CARIES;A01AA01;FLUORURO DE SODIO
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AA;AGENTES PARA LA PROFILAXIS DE LAS CARIES;A01AA02;MONOFLUORFOSFATO DE SODIO
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AA;AGENTES PARA LA PROFILAXIS DE LAS CARIES;A01AA03;OLAFLUR
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AA;AGENTES PARA LA PROFILAXIS DE LAS CARIES;A01AA04;FLUORURO DE ESTAÑO
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AA;AGENTES PARA LA PROFILAXIS DE LAS CARIES;A01AA30;COMBINACIONES
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AA;AGENTES PARA LA PROFILAXIS DE LAS CARIES;A01AA51;FLUORURO DE SODIO, COMBINACIONES
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AB;ANTIINFECCIOSOS Y ANTISÉPTICOS PARA EL TRATAMIENTO ORAL LOCAL;A01AB02;PERÓXIDO DE HIDRÓGENO
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AB;ANTIINFECCIOSOS Y ANTISÉPTICOS PARA EL TRATAMIENTO ORAL LOCAL;A01AB03;CLORHEXIDINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AB;ANTIINFECCIOSOS Y ANTISÉPTICOS PARA EL TRATAMIENTO ORAL LOCAL;A01AB04;AMFOTERICINA B
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AB;ANTIINFECCIOSOS Y ANTISÉPTICOS PARA EL TRATAMIENTO ORAL LOCAL;A01AB05;POLINOXILINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AB;ANTIINFECCIOSOS Y ANTISÉPTICOS PARA EL TRATAMIENTO ORAL LOCAL;A01AB06;DOMIFENO
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AB;ANTIINFECCIOSOS Y ANTISÉPTICOS PARA EL TRATAMIENTO ORAL LOCAL;A01AB07;OXIQUINOLINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AB;ANTIINFECCIOSOS Y ANTISÉPTICOS PARA EL TRATAMIENTO ORAL LOCAL;A01AB08;NEOMICINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AB;ANTIINFECCIOSOS Y ANTISÉPTICOS PARA EL TRATAMIENTO ORAL LOCAL;A01AB09;MICONAZOL
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AB;ANTIINFECCIOSOS Y ANTISÉPTICOS PARA EL TRATAMIENTO ORAL LOCAL;A01AB10;NATAMICINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AB;ANTIINFECCIOSOS Y ANTISÉPTICOS PARA EL TRATAMIENTO ORAL LOCAL;A01AB11;VARIOS
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AB;ANTIINFECCIOSOS Y ANTISÉPTICOS PARA EL TRATAMIENTO ORAL LOCAL;A01AB12;HEXETIDINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AB;ANTIINFECCIOSOS Y ANTISÉPTICOS PARA EL TRATAMIENTO ORAL LOCAL;A01AB13;TETRACICLINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AB;ANTIINFECCIOSOS Y ANTISÉPTICOS PARA EL TRATAMIENTO ORAL LOCAL;A01AB14;CLORURO DE BENZOXONIO
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AB;ANTIINFECCIOSOS Y ANTISÉPTICOS PARA EL TRATAMIENTO ORAL LOCAL;A01AB15;TIBEZONIO, IODURO DE
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AB;ANTIINFECCIOSOS Y ANTISÉPTICOS PARA EL TRATAMIENTO ORAL LOCAL;A01AB16;MEPARTRICINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AB;ANTIINFECCIOSOS Y ANTISÉPTICOS PARA EL TRATAMIENTO ORAL LOCAL;A01AB17;METRONIDAZOL
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AB;ANTIINFECCIOSOS Y ANTISÉPTICOS PARA EL TRATAMIENTO ORAL LOCAL;A01AB18;CLOTRIMAZOL
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AB;ANTIINFECCIOSOS Y ANTISÉPTICOS PARA EL TRATAMIENTO ORAL LOCAL;A01AB19;PERBORATO DE SODIO
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AB;ANTIINFECCIOSOS Y ANTISÉPTICOS PARA EL TRATAMIENTO ORAL LOCAL;A01AB21;CLORTETRACICLINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AB;ANTIINFECCIOSOS Y ANTISÉPTICOS PARA EL TRATAMIENTO ORAL LOCAL;A01AB22;DOXICICLINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AB;ANTIINFECCIOSOS Y ANTISÉPTICOS PARA EL TRATAMIENTO ORAL LOCAL;A01AB23;MINOCICLINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AC;CORTICOSTEROIDES PARA TRATAMIENTO ORAL LOCAL;A01AC01;TRIAMCINOLONA
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AC;CORTICOSTEROIDES PARA TRATAMIENTO ORAL LOCAL;A01AC02;DEXAMETASONA
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AC;CORTICOSTEROIDES PARA TRATAMIENTO ORAL LOCAL;A01AC03;HIDROCORTISONA
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AC;CORTICOSTEROIDES PARA TRATAMIENTO ORAL LOCAL;A01AC54;PREDNISOLONA, COMBINACIONES
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AD;OTROS AGENTES PARA TRATAMIENTO ORAL LOCAL;A01AD01;EPINEFRINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AD;OTROS AGENTES PARA TRATAMIENTO ORAL LOCAL;A01AD02;BENCIDAMINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AD;OTROS AGENTES PARA TRATAMIENTO ORAL LOCAL;A01AD05;ÁCIDO ACETILSALICÍLICO
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AD;OTROS AGENTES PARA TRATAMIENTO ORAL LOCAL;A01AD06;ADRENALONA
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AD;OTROS AGENTES PARA TRATAMIENTO ORAL LOCAL;A01AD07;AMLEXANOXO
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AD;OTROS AGENTES PARA TRATAMIENTO ORAL LOCAL;A01AD08;BECAPLERMINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A01A;PREPARADOS ESTOMATOLÓGICOS;A01AD;OTROS AGENTES PARA TRATAMIENTO ORAL LOCAL;A01AD11;VARIOS
A;TRACTO ALIMENTARIO Y METABOLISMO;A02A;ANTIÁCIDOS;A02AA;COMPUESTOS DE MAGNESIO;A02AA01;CARBONATO DE MAGNESIO
A;TRACTO ALIMENTARIO Y METABOLISMO;A02A;ANTIÁCIDOS;A02AA;COMPUESTOS DE MAGNESIO;A02AA02;ÓXIDO DE MAGNESIO
A;TRACTO ALIMENTARIO Y METABOLISMO;A02A;ANTIÁCIDOS;A02AA;COMPUESTOS DE MAGNESIO;A02AA03;PERÓXIDO DE MAGNESIO
A;TRACTO ALIMENTARIO Y METABOLISMO;A02A;ANTIÁCIDOS;A02AA;COMPUESTOS DE MAGNESIO;A02AA04;HIDRÓXIDO DE MAGNESIO
A;TRACTO ALIMENTARIO Y METABOLISMO;A02A;ANTIÁCIDOS;A02AA;COMPUESTOS DE MAGNESIO;A02AA05;SILICATO DE MAGNESIO
A;TRACTO ALIMENTARIO Y METABOLISMO;A02A;ANTIÁCIDOS;A02AA;COMPUESTOS DE MAGNESIO;A02AA10;COMBINACIONES
A;TRACTO ALIMENTARIO Y METABOLISMO;A02A;ANTIÁCIDOS;A02AB;COMPUESTOS DE ALUMINIO;A02AB01;HIDRÓXIDO DE ALUMINIO
A;TRACTO ALIMENTARIO Y METABOLISMO;A02A;ANTIÁCIDOS;A02AB;COMPUESTOS DE ALUMINIO;A02AB02;ALGELDRATO
A;TRACTO ALIMENTARIO Y METABOLISMO;A02A;ANTIÁCIDOS;A02AB;COMPUESTOS DE ALUMINIO;A02AB03;FOSFATO DE ALUMINIO
A;TRACTO ALIMENTARIO Y METABOLISMO;A02A;ANTIÁCIDOS;A02AB;COMPUESTOS DE ALUMINIO;A02AB04;CARBONATO SÓDICO DE DIHIDROXIALUMINIO
A;TRACTO ALIMENTARIO Y METABOLISMO;A02A;ANTIÁCIDOS;A02AB;COMPUESTOS DE ALUMINIO;A02AB05;ACETOACETATO DE ALUMINIO
A;TRACTO ALIMENTARIO Y METABOLISMO;A02A;ANTIÁCIDOS;A02AB;COMPUESTOS DE ALUMINIO;A02AB06;ALOGLUTAMOL
A;TRACTO ALIMENTARIO Y METABOLISMO;A02A;ANTIÁCIDOS;A02AB;COMPUESTOS DE ALUMINIO;A02AB07;GLICINATO DE ALUMINIO
A;TRACTO ALIMENTARIO Y METABOLISMO;A02A;ANTIÁCIDOS;A02AB;COMPUESTOS DE ALUMINIO;A02AB10;COMBINACIONES
A;TRACTO ALIMENTARIO Y METABOLISMO;A02A;ANTIÁCIDOS;A02AC;COMPUESTOS DE CALCIO;A02AC01;CARBONATO DE CALCIO
A;TRACTO ALIMENTARIO Y METABOLISMO;A02A;ANTIÁCIDOS;A02AC;COMPUESTOS DE CALCIO;A02AC02;SILICATO DE CALCIO
A;TRACTO ALIMENTARIO Y METABOLISMO;A02A;ANTIÁCIDOS;A02AC;COMPUESTOS DE CALCIO;A02AC10;COMBINACIONES
A;TRACTO ALIMENTARIO Y METABOLISMO;A02A;ANTIÁCIDOS;A02AD;COMBINACIONES Y COMPLEJOS DE COMPUESTO DE ALUMINIO, CALCIO Y MAGNESIO;A02AD01;COMBINACIONES DE SALES SIMPLES
A;TRACTO ALIMENTARIO Y METABOLISMO;A02A;ANTIÁCIDOS;A02AD;COMBINACIONES Y COMPLEJOS DE COMPUESTO DE ALUMINIO, CALCIO Y MAGNESIO;A02AD02;MAGALDRATO
A;TRACTO ALIMENTARIO Y METABOLISMO;A02A;ANTIÁCIDOS;A02AD;COMBINACIONES Y COMPLEJOS DE COMPUESTO DE ALUMINIO, CALCIO Y MAGNESIO;A02AD03;ALMAGATO
A;TRACTO ALIMENTARIO Y METABOLISMO;A02A;ANTIÁCIDOS;A02AD;COMBINACIONES Y COMPLEJOS DE COMPUESTO DE ALUMINIO, CALCIO Y MAGNESIO;A02AD04;HIDROTALCITA
A;TRACTO ALIMENTARIO Y METABOLISMO;A02A;ANTIÁCIDOS;A02AD;COMBINACIONES Y COMPLEJOS DE COMPUESTO DE ALUMINIO, CALCIO Y MAGNESIO;A02AD05;ALMASILATO
A;TRACTO ALIMENTARIO Y METABOLISMO;A02A;ANTIÁCIDOS;A02AF;ANTIÁCIDOS CON CARMINATIVOS;A02AF01;MAGALDRATO Y CARMINATIVOS
A;TRACTO ALIMENTARIO Y METABOLISMO;A02A;ANTIÁCIDOS;A02AF;ANTIÁCIDOS CON CARMINATIVOS;A02AF02;COMBINACIONES DE SALES SIMPLES Y CARMINATIVOS
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BA;ANTAGONISTAS DEL RECEPTOR H2;A02BA01;CIMETIDINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BA;ANTAGONISTAS DEL RECEPTOR H2;A02BA02;RANITIDINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BA;ANTAGONISTAS DEL RECEPTOR H2;A02BA03;FAMOTIDINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BA;ANTAGONISTAS DEL RECEPTOR H2;A02BA04;NIZATIDINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BA;ANTAGONISTAS DEL RECEPTOR H2;A02BA05;NIPEROTIDINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BA;ANTAGONISTAS DEL RECEPTOR H2;A02BA06;ROXATIDINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BA;ANTAGONISTAS DEL RECEPTOR H2;A02BA07;RANITIDINA Y CITRATO DE BISMUTO
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BA;ANTAGONISTAS DEL RECEPTOR H2;A02BA08;LAFUTIDINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BA;ANTAGONISTAS DEL RECEPTOR H2;A02BA51;CIMETIDINA, COMBINACIONES
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BA;ANTAGONISTAS DEL RECEPTOR H2;A02BA53;FAMOTIDINA, COMBINACIONES
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BB;PROSTAGLANDINAS;A02BB01;MISOPROSTOL
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BB;PROSTAGLANDINAS;A02BB02;ENPROSTILO
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BC;INHIBIDORES DE LA BOMBA DE PROTONES;A02BC01;OMEPRAZOL
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BC;INHIBIDORES DE LA BOMBA DE PROTONES;A02BC02;PANTOPRAZOL
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BC;INHIBIDORES DE LA BOMBA DE PROTONES;A02BC03;LANSOPRAZOL
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BC;INHIBIDORES DE LA BOMBA DE PROTONES;A02BC04;RABEPRAZOL
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BC;INHIBIDORES DE LA BOMBA DE PROTONES;A02BC05;ESOMEPRAZOL
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BC;INHIBIDORES DE LA BOMBA DE PROTONES;A02BC06;DEXLANSOPRAZOL
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BD;COMBINACIONES PARA LA ERRADICACIÓN DEL HELICOBACTER PYLORI;A02BD01;OMEPRAZOL, AMOXICILINA Y METRONIDAZOL
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BD;COMBINACIONES PARA LA ERRADICACIÓN DEL HELICOBACTER PYLORI;A02BD02;LANSOPRAZOL, TETRACICLINAS Y METRONIDAZOL
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BD;COMBINACIONES PARA LA ERRADICACIÓN DEL HELICOBACTER PYLORI;A02BD03;LANSOPRAZOL, AMOXICILINA Y METRONIDAZOL
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BD;COMBINACIONES PARA LA ERRADICACIÓN DEL HELICOBACTER PYLORI;A02BD04;PANTOPRAZOL, AMOXICILINA Y CLARITROMICINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BD;COMBINACIONES PARA LA ERRADICACIÓN DEL HELICOBACTER PYLORI;A02BD05;OMEPRAZOL, AMOXICILINA Y CLARITROMICINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BD;COMBINACIONES PARA LA ERRADICACIÓN DEL HELICOBACTER PYLORI;A02BD06;ESOMEPRAZOL, AMOXICILINA Y CLARITROMICINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BD;COMBINACIONES PARA LA ERRADICACIÓN DEL HELICOBACTER PYLORI;A02BD07;LANSOPRAZOL, AMOXICILINA Y CLARITROMICINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BD;COMBINACIONES PARA LA ERRADICACIÓN DEL HELICOBACTER PYLORI;A02BD08;SUBCITRATO DE BISMUTO, TETRACICLINA Y METRONIDAZOL
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BX;OTROS AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BX01;CARBENOXOLONA
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BX;OTROS AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BX02;SUCRALFATO
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BX;OTROS AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BX03;PIRENZEPINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BX;OTROS AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BX04;CLORURO DE METIOSULFONIO
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BX;OTROS AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BX05;SUBCITRATO DE BISMUTO
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BX;OTROS AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BX06;PROGLUMIDA
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BX;OTROS AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BX07;GEFARNATO
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BX;OTROS AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BX08;SULGLICOTIDA
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BX;OTROS AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BX09;ACETOXOLONA
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BX;OTROS AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BX10;ZOLIMIDINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BX;OTROS AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BX11;TROXIPIDA
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BX;OTROS AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BX12;SUBNITRATO DE BISMUTO
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BX;OTROS AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BX13;ÁCIDO ALGÍNICO
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BX;OTROS AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BX51;CARBENOXOLONA, COMBINACIONES EXCLUIDOS PSICOLÉPTICOS
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BX;OTROS AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BX71;CARBENOXOLONA, COMBINACIONES CON PSICOLÉPTICOS
A;TRACTO ALIMENTARIO Y METABOLISMO;A02B;AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BX;OTROS AGENTES CONTRA LA ÚLCERA PÉPTICA Y EL REFLUJO GASTROESOFÁGICO (RGE/GORD);A02BX77;GEFARNATO, COMBINACIONES CON PSICOLÉPTICOS
A;TRACTO ALIMENTARIO Y METABOLISMO;A03A;AGENTES CONTRA PADECIMIENTOS FUNCIONALES GASTROINTESTINALES;A03AA;ANTICOLINÉRGICOS SINTÉTICOS, ÉSTERES CON GRUPO AMINO TERCIARIO;A03AA01;OXIFENCICLIMINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A03A;AGENTES CONTRA PADECIMIENTOS FUNCIONALES GASTROINTESTINALES;A03AA;ANTICOLINÉRGICOS SINTÉTICOS, ÉSTERES CON GRUPO AMINO TERCIARIO;A03AA03;CAMILOFINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A03A;AGENTES CONTRA PADECIMIENTOS FUNCIONALES GASTROINTESTINALES;A03AA;ANTICOLINÉRGICOS SINTÉTICOS, ÉSTERES CON GRUPO AMINO TERCIARIO;A03AA04;MEBEVERINA
A;TRACTO ALIMENTARIO Y METABOLISMO;A03A;AGENTES CONTRA PADECIMIENTOS FUNCIONALES GASTROINTESTINALES;A03AA;ANTICOLINÉRGICOS SINTÉTICOS, ÉSTERES CON GRUPO AMINO TERCIARIO;A03AA05;TRIMEBUTINA
